"d_codigo","d_asenta","d_tipo_asenta","d_mnpio","d_estado"
"83000","Hermosillo Centro","Colonia","Hermosillo","Sonora"
"83010","5 de Mayo","Colonia","Hermosillo","Sonora"
"83010","Country Club","Colonia","Hermosillo","Sonora"
"83010","Lomas Pitic","Colonia","Hermosillo","Sonora"
"83010","Mediterráneo Residencial","Colonia","Hermosillo","Sonora"
"83010","Campestre Residencial","Colonia","Hermosillo","Sonora"
"83010","Cerrada el Encanto","Fraccionamiento","Hermosillo","Sonora"
"83010","Los Igualados","Colonia","Hermosillo","Sonora"
"83010","Los Altos Residencial","Fraccionamiento","Hermosillo","Sonora"
"83010","Country Club Residencial","Fraccionamiento","Hermosillo","Sonora"
"83013","PEMEX","Colonia","Hermosillo","Sonora"
"83013","Ferrocarrilera","Colonia","Hermosillo","Sonora"
"83015","Rinconada de Nuevo León","Colonia","Hermosillo","Sonora"
"83016","Cruz Gálvez","Colonia","Hermosillo","Sonora"
"83020","Las Amapolas","Colonia","Hermosillo","Sonora"
"83029","La Metalera","Colonia","Hermosillo","Sonora"
"83030","Cañada de los Negros","Colonia","Hermosillo","Sonora"
"83040","Coloso","Colonia","Hermosillo","Sonora"
"83040","El Mariachi","Colonia","Hermosillo","Sonora"
"83050","El Ranchito","Colonia","Hermosillo","Sonora"
"83050","Rinconada de la Cruz","Colonia","Hermosillo","Sonora"
"83050","Bella Vista","Colonia","Hermosillo","Sonora"
"83060","Los Naranjos","Colonia","Hermosillo","Sonora"
"83067","Universidad","Colonia","Hermosillo","Sonora"
"83068","Revolución II","Colonia","Hermosillo","Sonora"
"83068","Los Sauces","Colonia","Hermosillo","Sonora"
"83070","Del Razo","Colonia","Hermosillo","Sonora"
"83070","San Juan","Colonia","Hermosillo","Sonora"
"83070","Cerrada Norwalk","Colonia","Hermosillo","Sonora"
"83078","Revolución I","Colonia","Hermosillo","Sonora"
"83079","Casa Blanca","Colonia","Hermosillo","Sonora"
"83079","Cerro de la Campana","Colonia","Hermosillo","Sonora"
"83079","Villa del Pitic","Colonia","Hermosillo","Sonora"
"83079","Privada Casa Blanca","Fraccionamiento","Hermosillo","Sonora"
"83079","Chino Abelardo","Colonia","Hermosillo","Sonora"
"83080","La Matanza","Colonia","Hermosillo","Sonora"
"83089","Las Pilas","Colonia","Hermosillo","Sonora"
"83090","Hacienda de la Flor","Colonia","Hermosillo","Sonora"
"83100","Apolo","Colonia","Hermosillo","Sonora"
"83100","Atardeceres","Colonia","Hermosillo","Sonora"
"83100","Ley 57","Colonia","Hermosillo","Sonora"
"83100","Popular","Colonia","Hermosillo","Sonora"
"83100","Prados del Sol","Colonia","Hermosillo","Sonora"
"83100","Misión del Real","Fraccionamiento","Hermosillo","Sonora"
"83100","Misión del Sol","Fraccionamiento","Hermosillo","Sonora"
"83100","San Diego","Fraccionamiento","Hermosillo","Sonora"
"83100","Prados de Bugambilias","Colonia","Hermosillo","Sonora"
"83100","Misión San Ignacio","Fraccionamiento","Hermosillo","Sonora"
"83100","Residencial Kino","Colonia","Hermosillo","Sonora"
"83100","Cerrada del Carmen","Colonia","Hermosillo","Sonora"
"83100","Privada Córdoba","Colonia","Hermosillo","Sonora"
"83100","Privada Robles","Colonia","Hermosillo","Sonora"
"83100","15 ""A""","Colonia","Hermosillo","Sonora"
"83103","CNOP","Colonia","Hermosillo","Sonora"
"83103","Lomas de Madrid","Colonia","Hermosillo","Sonora"
"83104","López Portillo","Colonia","Hermosillo","Sonora"
"83104","Altos de Aragón","Fraccionamiento","Hermosillo","Sonora"
"83104","Alta Firenze Residencial","Fraccionamiento","Hermosillo","Sonora"
"83104","Alta Firenze Norte","Fraccionamiento","Hermosillo","Sonora"
"83104","Valle de Santa Mónica","Colonia","Hermosillo","Sonora"
"83104","San Lorenzo","Fraccionamiento","Hermosillo","Sonora"
"83104","Lomas de Linda Vista","Colonia","Hermosillo","Sonora"
"83104","Margaritas Olivos","Colonia","Hermosillo","Sonora"
"83104","Firenze Residencial","Fraccionamiento","Hermosillo","Sonora"
"83104","Alborada","Colonia","Hermosillo","Sonora"
"83104","Palermo Sección Veneto","Fraccionamiento","Hermosillo","Sonora"
"83104","Palermo Sección Partanna","Fraccionamiento","Hermosillo","Sonora"
"83104","Palermo Sección Ferrara","Fraccionamiento","Hermosillo","Sonora"
"83105","Jacinto López","Colonia","Hermosillo","Sonora"
"83105","Residencial la Cima","Fraccionamiento","Hermosillo","Sonora"
"83105","Residencial la Cima II","Fraccionamiento","Hermosillo","Sonora"
"83105","Granada","Fraccionamiento","Hermosillo","Sonora"
"83105","Guayacán","Colonia","Hermosillo","Sonora"
"83105","Caperuzo","Fraccionamiento","Hermosillo","Sonora"
"83105","4 de Marzo","Colonia","Hermosillo","Sonora"
"83105","El Cortijo","Fraccionamiento","Hermosillo","Sonora"
"83105","Haciendas Residencial","Fraccionamiento","Hermosillo","Sonora"
"83105","La Caridad","Fraccionamiento","Hermosillo","Sonora"
"83105","Nuevo Horizonte","Fraccionamiento","Hermosillo","Sonora"
"83105","Paseo de las Palmas","Fraccionamiento","Hermosillo","Sonora"
"83105","Villas del Palmar","Colonia","Hermosillo","Sonora"
"83105","Rincón Agradable","Colonia","Hermosillo","Sonora"
"83105","San Sebastián","Colonia","Hermosillo","Sonora"
"83105","Cerrada de la Capilla","Fraccionamiento","Hermosillo","Sonora"
"83105","Cortijo Periodista","Fraccionamiento","Hermosillo","Sonora"
"83105","Retorno de la Misión","Fraccionamiento","Hermosillo","Sonora"
"83105","Cerrada la Caridad","Fraccionamiento","Hermosillo","Sonora"
"83105","Lomas del Norte","Fraccionamiento","Hermosillo","Sonora"
"83106","Insurgentes","Colonia","Hermosillo","Sonora"
"83106","Monterosa Hábitat Residencial","Fraccionamiento","Hermosillo","Sonora"
"83106","Cárdeno Residencial","Fraccionamiento","Hermosillo","Sonora"
"83106","Vista Azul","Fraccionamiento","Hermosillo","Sonora"
"83106","La Mirada Residencial","Fraccionamiento","Hermosillo","Sonora"
"83106","Alto Valle","Fraccionamiento","Hermosillo","Sonora"
"83106","Los Ángeles","Fraccionamiento","Hermosillo","Sonora"
"83106","Rincón de Palmas","Fraccionamiento","Hermosillo","Sonora"
"83106","Villa Colonial","Colonia","Hermosillo","Sonora"
"83106","Villa Dorada","Fraccionamiento","Hermosillo","Sonora"
"83106","Villas de Cortés","Colonia","Hermosillo","Sonora"
"83106","Villa Guadalupe","Colonia","Hermosillo","Sonora"
"83106","Villa Sonora","Colonia","Hermosillo","Sonora"
"83106","Villas del Cortijo","Colonia","Hermosillo","Sonora"
"83106","Heberto Castillo","Colonia","Hermosillo","Sonora"
"83106","Villa del Rey","Colonia","Hermosillo","Sonora"
"83106","Privadas del Mirador","Fraccionamiento","Hermosillo","Sonora"
"83106","Privada Mixcoac","Fraccionamiento","Hermosillo","Sonora"
"83106","Las Vistas","Colonia","Hermosillo","Sonora"
"83106","Cerrada Coronado","Fraccionamiento","Hermosillo","Sonora"
"83106","Misión de Andalucía Residencial","Fraccionamiento","Hermosillo","Sonora"
"83106","Banus","Fraccionamiento","Hermosillo","Sonora"
"83106","Andalucía Residencial","Fraccionamiento","Hermosillo","Sonora"
"83106","Antara Residencial","Fraccionamiento","Hermosillo","Sonora"
"83106","Villa Colonial II","Colonia","Hermosillo","Sonora"
"83107","Altaria Residencial","Fraccionamiento","Hermosillo","Sonora"
"83107","Bilbao","Fraccionamiento","Hermosillo","Sonora"
"83107","Paseo del Cid Residencial","Fraccionamiento","Hermosillo","Sonora"
"83107","Montalbán Residencial","Fraccionamiento","Hermosillo","Sonora"
"83107","Catania Residencial","Fraccionamiento","Hermosillo","Sonora"
"83107","La Caridad","Fraccionamiento","Hermosillo","Sonora"
"83107","Canteras Residencial","Fraccionamiento","Hermosillo","Sonora"
"83107","Altaria Norte","Fraccionamiento","Hermosillo","Sonora"
"83107","Urbi Villa del Cedro","Fraccionamiento","Hermosillo","Sonora"
"83107","Urbi Alameda los Fresnos Residencial","Fraccionamiento","Hermosillo","Sonora"
"83107","Bella Vista","Ranchería","Hermosillo","Sonora"
"83107","La Reforma","Ranchería","Hermosillo","Sonora"
"83108","Puerta Norte","Fraccionamiento","Hermosillo","Sonora"
"83108","Pomona Residencial","Fraccionamiento","Hermosillo","Sonora"
"83108","Verandah","Fraccionamiento","Hermosillo","Sonora"
"83110","Benito Juárez","Colonia","Hermosillo","Sonora"
"83110","Mártires de Cananea","Colonia","Hermosillo","Sonora"
"83113","Jardines","Colonia","Hermosillo","Sonora"
"83113","Conjunto Arizona","Fraccionamiento","Hermosillo","Sonora"
"83114","Eusebio Kino","Colonia","Hermosillo","Sonora"
"83114","Velas Residencial","Fraccionamiento","Hermosillo","Sonora"
"83114","San Luis Rey","Fraccionamiento","Hermosillo","Sonora"
"83114","Santa Bárbara","Colonia","Hermosillo","Sonora"
"83114","Villas Residencial","Colonia","Hermosillo","Sonora"
"83114","Milán Residencial","Fraccionamiento","Hermosillo","Sonora"
"83114","Villa California Residencial","Fraccionamiento","Hermosillo","Sonora"
"83114","Lomas de Reforma","Fraccionamiento","Hermosillo","Sonora"
"83114","Aranjuez Residencial","Fraccionamiento","Hermosillo","Sonora"
"83115","Carmen Serdán","Colonia","Hermosillo","Sonora"
"83115","El Cortijo UNISON","Colonia","Hermosillo","Sonora"
"83116","Primero Hermosillo","Colonia","Hermosillo","Sonora"
"83116","Montesinos","Fraccionamiento","Hermosillo","Sonora"
"83116","Norberto Ortega","Colonia","Hermosillo","Sonora"
"83116","Real del Cobre","Fraccionamiento","Hermosillo","Sonora"
"83116","Solidaridad","Colonia","Hermosillo","Sonora"
"83116","Manuel Gómez Morín","Colonia","Hermosillo","Sonora"
"83116","Nueva Victoria","Colonia","Hermosillo","Sonora"
"83116","Valle del Portal","Fraccionamiento","Hermosillo","Sonora"
"83116","Real del Cardo","Fraccionamiento","Hermosillo","Sonora"
"83116","La Campiña","Fraccionamiento","Hermosillo","Sonora"
"83116","Villa Merlot Residencial","Fraccionamiento","Hermosillo","Sonora"
"83116","Tierra Colorada","Fraccionamiento","Hermosillo","Sonora"
"83116","Miguel Ángel Jiménez","Colonia","Hermosillo","Sonora"
"83116","Francisco Romero","Colonia","Hermosillo","Sonora"
"83116","Unión de Ladrilleros Manuel Dorado","Ranchería","Hermosillo","Sonora"
"83117","Miguel Hidalgo","Colonia","Hermosillo","Sonora"
"83117","Alondras Residencial","Fraccionamiento","Hermosillo","Sonora"
"83117","Monarca Residencial","Fraccionamiento","Hermosillo","Sonora"
"83117","Villa Bonita","Colonia","Hermosillo","Sonora"
"83117","Villas de San Lorenzo","Fraccionamiento","Hermosillo","Sonora"
"83117","Valladolid Residencial","Fraccionamiento","Hermosillo","Sonora"
"83117","El Encanto","Colonia","Hermosillo","Sonora"
"83117","Los Manantiales","Colonia","Hermosillo","Sonora"
"83117","Pilares","Fraccionamiento","Hermosillo","Sonora"
"83117","Privadas del Bosque","Colonia","Hermosillo","Sonora"
"83117","Tubac","Fraccionamiento","Hermosillo","Sonora"
"83117","Pueblo Bonito","Fraccionamiento","Hermosillo","Sonora"
"83117","Pueblo del Oro","Fraccionamiento","Hermosillo","Sonora"
"83117","Opatas","Colonia","Hermosillo","Sonora"
"83117","Cerrada Pimas","Colonia","Hermosillo","Sonora"
"83117","Cerrada Diamante","Fraccionamiento","Hermosillo","Sonora"
"83117","Palo Fierro","Fraccionamiento","Hermosillo","Sonora"
"83117","Torreplata Residencial","Fraccionamiento","Hermosillo","Sonora"
"83117","Romanza Residencial","Fraccionamiento","Hermosillo","Sonora"
"83117","Pueblitos Cerrada Kikapu","Fraccionamiento","Hermosillo","Sonora"
"83117","Pueblitos Cerrada Kukapa","Fraccionamiento","Hermosillo","Sonora"
"83117","Pueblitos Cerrada Papagos","Fraccionamiento","Hermosillo","Sonora"
"83117","Pueblitos Cerrada Guarijios","Fraccionamiento","Hermosillo","Sonora"
"83117","Privadas del Sauce","Fraccionamiento","Hermosillo","Sonora"
"83117","Los Pinos Residencial","Fraccionamiento","Hermosillo","Sonora"
"83117","Bicentenario Residencial","Fraccionamiento","Hermosillo","Sonora"
"83117","Portal de Romanza Residencial","Fraccionamiento","Hermosillo","Sonora"
"83117","Villas de Romanza","Fraccionamiento","Hermosillo","Sonora"
"83117","Miguel Valencia","Colonia","Hermosillo","Sonora"
"83118","Parque Industrial de Hermosillo Norte","Zona industrial","Hermosillo","Sonora"
"83118","Parque Central","Fraccionamiento","Hermosillo","Sonora"
"83118","Natura","Fraccionamiento","Hermosillo","Sonora"
"83118","Torralba Residencial","Fraccionamiento","Hermosillo","Sonora"
"83118","Privadas del Rey","Fraccionamiento","Hermosillo","Sonora"
"83118","Jardín Real Residencial","Fraccionamiento","Hermosillo","Sonora"
"83118","Monteregio Residencial","Fraccionamiento","Hermosillo","Sonora"
"83118","Cerro Colorado","Fraccionamiento","Hermosillo","Sonora"
"83118","Torre de Piedra","Fraccionamiento","Hermosillo","Sonora"
"83118","Cantabria","Fraccionamiento","Hermosillo","Sonora"
"83118","Privadas Santa Clara","Fraccionamiento","Hermosillo","Sonora"
"83118","Salvatierra","Colonia","Hermosillo","Sonora"
"83118","Real de Palmas","Fraccionamiento","Hermosillo","Sonora"
"83118","Valle Natura","Fraccionamiento","Hermosillo","Sonora"
"83118","Málaga","Fraccionamiento","Hermosillo","Sonora"
"83118","Navarra","Fraccionamiento","Hermosillo","Sonora"
"83118","Parque Industrial del Desierto","Zona industrial","Hermosillo","Sonora"
"83118","Nuevo Desierto","Colonia","Hermosillo","Sonora"
"83118","Arándanos Residencial","Fraccionamiento","Hermosillo","Sonora"
"83118","Villa del Real","Fraccionamiento","Hermosillo","Sonora"
"83118","Tumacacori","Fraccionamiento","Hermosillo","Sonora"
"83118","La Lengueta","Colonia","Hermosillo","Sonora"
"83118","Miniparque Industrial","Zona industrial","Hermosillo","Sonora"
"83118","Privadas del Real","Fraccionamiento","Hermosillo","Sonora"
"83118","Pueblo Alegre","Fraccionamiento","Hermosillo","Sonora"
